naam,type,zoekterm
Rottumerplaat,region,
Schiermonnikoog,region,Schiermonnikoog island
Ameland,region,Ameland island
Terschelling,region,Terschelling island
Delfzijl,city,
Vlieland,region,Vlieland island
Dollard,sea,
Waddenzee,sea,Waddenzee Fryslan
Eemskanaal,river,
Groningen (prov.),province,Groningen
Eems,river,Eems river
Groningen (stad),city,Groningen
Leeuwarden,city,R162081
Fryslân (Friesland),province,Fryslân
Winschoten,city,
Veendam,city,
Drachten,city,
Texel,region,Texel island
Sneek,city,
Afsluitdijk,region,W117425825
Afsluitdijk,region,W490475029
Afsluitdijk,region,W117425828
Assen,city,
Stadskanaal,city,
Heerenveen,city,R1414727
Den Helder,city,R297066
Drenthe,province,
Noordhollands Kanaal,river,
Emmen,city,
IJsselmeer,sea,
Hoogeveen,city,
Emmeloord,city,
Enkhuizen,city,R296469
Meppel,city,R414157
Noord-Holland,province,
Hoorn,city,
Alkmaar,city,R337394
Kampen,city,
Overijssel,province,
Markermeer,sea,
Zwolle,city,
Purmerend,city,
Lelystad,city,R409806
Flevoland,province,
Noordzeekanaal,river,
Zaandam,city,
Haarlem,city,
Almere,city,
Amsterdam,city,
Almelo,city,
Harderwijk,city,
IJssel,river,IJssel river
Amstelveen,city,
Schiphol,city,
Veluwe,region,
Twente,region,Almelo
Twente,region,Borne
Twente,region,Dinkelland
Twente,region,Enschede
Twente,region,Haaksbergen
Twente,region,Hengelo
Twente,region,Hof van Twente
Twente,region,Losser
Twente,region,Oldenzaal
Twente,region,Tubbergen
Twente,region,Twenterand
Twente,region,Wierden
Hengelo,city,
Haarlemmermeer,region,
Deventer,city,R1002146
Hilversum,city,
Enschede,city,
Apeldoorn,city,R2713150
Twentekanaal,river,
Amsterdam-Rijnkanaal,river,
Leiden,city,
Amersfoort,city,
Zutphen,city,R2713974
Randstad,region,Amsterdam
Randstad,region,Den Haag
Randstad,region,Utrecht
Randstad,region,Rotterdam
Alpen a.d. Rijn,city,Alphen aan de Rijn
Utrecht (stad),city,R419203
Zeist,city,
Den Haag,city,
Utrecht (prov.),province,Utrecht
Zoetermeer,city,
Gelderland,province,
Ede,city,R334640
Nieuwegein,city,
Veenendaal,city,
Delft,city,
Gouda,city,
Achterhoek,region,Aalten
Achterhoek,region,Berkelland
Achterhoek,region,Bronckhorst
Achterhoek,region,Doetinchem
Achterhoek,region,Oost Gelre
Achterhoek,region,Oude IJsselstreek
Achterhoek,region,Winterswijk
Arnhem,city,
Winterswijk,city,R2714307
Lek,river,
Nieuwe Waterweg,river,
Wageningen,city,
Doetinchem,city,
Neder-Rijn,river,Nederrijn
Rotterdam,city,
Schiedam,city,R324296
Vlaardingen,city,R300902
Dordrecht,city,R309478
Tiel,city,
Spijkenisse,city,
Rijn,river,
Nijmegen,city,
Oude Maas,river,
Gorinchem,city,
Waal,river,waal river gelderland
Merwede,river,Merwede rivier altena
Merwede,river,Merwede rivier papendrecht
Haringvliet,sea,
Rijnmond,region,Albrandswaard
Rijnmond,region,Barendrecht
Rijnmond,region,Capelle aan den IJssel
Rijnmond,region,Hoeksche waard
Rijnmond,region,Krimpen aan den IJssel
Rijnmond,region,Lansingerland
Rijnmond,region,Maassluis
Rijnmond,region,Krimpenerwaard
Rijnmond,region,Nissewaard
Rijnmond,region,Ridderkerk
Rijnmond,region,Rotterdam
Rijnmond,region,Schiedam
Rijnmond,region,Vlaardingen
Rijnmond,region,Voorne aan Zee
Rijnmond,region,Zuidplas
Hoekse Waard,region,hoekse waard island
Oss,city,R1450788
Biesbosch,region,
Hollandsch Diep,sea,R10311968
's-Hertogenbosch (Den Bosch),city,'s-Hertogenbosch
Oosterschelde,sea,
Breda,city,
Schelde-Rijnkanaal,river,R1410218
Schelde-Rijnkanaal,river,R1410233
Schelde-Rijnkanaal,river,R1408223
Tilburg,city,R1411514
Noord-Brabant,province,
Roosendaal,city,
Goes,city,
Zeeland,province,
Bergen op Zoom,city,
Middelburg,city,Middelburg nederland
Helmond,city,
Vlissingen,city,R161150
Eindhoven,city,R296014
Westerschelde,sea,R9745220
Venlo,city,
Terneuzen,city,
Zeeuws-Vlaanderen,region,
Limburg,province,
Weert,city,R1414454
Roermond,city,
Maas,river,
Sittard,city,
Heerlen,city,
Kerkrade,city,
Maastricht,city,
Vaalserberg,city,
Zuid-Holland,province,
